SampleID	site	Rep_of_sample	Filter_vol	longitude	latitude	altitude	date	status	team	river	tributary	river_width	river_depth	water_velocity	TEMP	PH	DO	conductivity	PrevDayRain	DayRain	DistFromPAedge	Regional_Division
23GLG01-1	GLG01	1	4	98.84333	25.87417	836	20230421	sample	1	nu	yes	0.8	15	0.479	21.2	8.56	10.34	253	1	0	NA	Middle
23GLG01-2	GLG01	2	7.2	98.84333	25.87417	836	20230421	sample	1	nu	yes	0.8	15	0.479	21.2	8.56	10.34	253	1	0	NA	Middle
23GLG01-3	GLG01	3	8.3	98.84333	25.87417	836	20230421	sample	1	nu	yes	0.8	15	0.479	21.2	8.56	10.34	253	1	0	NA	Middle
23GLG02-1	GLG02	1	7.3	98.81139	25.93167	991	20230421	sample	1	nu	yes	3	100	0.767	21	8.52	10.9	91	1	0	8.2	Middle
23GLG02-2	GLG02	2	7.9	98.81139	25.93167	991	20230421	sample	1	nu	yes	3	100	0.767	21	8.52	10.9	91	1	0	8.2	Middle
23GLG02-3	GLG02	3	8	98.81139	25.93167	991	20230421	sample	1	nu	yes	3	100	0.767	21	8.52	10.9	91	1	0	8.2	Middle
23GLG03-1	GLG03	1	8	98.82556	26.03028	1030	20230421	sample	1	nu	yes	11.9	80	0.606	19.7	8.48	11.4	53	1	0	14	Middle
23GLG03-2	GLG03	2	7.3	98.82556	26.03028	1030	20230421	sample	1	nu	yes	11.9	80	0.606	19.7	8.48	11.4	53	1	0	14	Middle
23GLG03-3	GLG03	3	7	98.82556	26.03028	1030	20230421	sample	1	nu	yes	11.9	80	0.606	19.7	8.48	11.4	53	1	0	14	Middle
23GLG04-1	GLG04	1	8	98.85528	26.13444	1001	20230422	sample	1	nu	yes	13.5	150	0.65	15.3	8.45	12.6	47	0	1	NA	Middle
23GLG04-2	GLG04	2	7	98.85528	26.13444	1001	20230422	sample	1	nu	yes	13.5	150	0.65	15.3	8.45	12.6	47	0	1	NA	Middle
23GLG04-3	GLG04	3	7.9	98.85528	26.13444	1001	20230422	sample	1	nu	yes	13.5	150	0.65	15.3	8.45	12.6	47	0	1	NA	Middle
23GLG05-1	GLG05	1	6.95	98.845	26.27861	1232	20230422	sample	1	nu	yes	13.3	150	0.551	14.9	8.44	11.9	51	0	1	NA	Middle
23GLG05-2	GLG05	2	7.69	98.845	26.27861	1232	20230422	sample	1	nu	yes	13.3	150	0.551	14.9	8.44	11.9	51	0	1	NA	Middle
23GLG05-3	GLG05	3	7.69	98.845	26.27861	1232	20230422	sample	1	nu	yes	13.3	150	0.551	14.9	8.44	11.9	51	0	1	NA	Middle
23GLG06-1	GLG06	1	5.9	98.89167	26.48917	1115	20230422	sample	1	nu	yes	16.6	180	0.782	14	8.24	12.7	32	0	1	4.8	Middle
23GLG06-2	GLG06	2	5.5	98.89167	26.48917	1115	20230422	sample	1	nu	yes	16.6	180	0.782	14	8.24	12.7	32	0	1	4.8	Middle
23GLG06-3	GLG06	3	5.9	98.89167	26.48917	1115	20230422	sample	1	nu	yes	16.6	180	0.782	14	8.24	12.7	32	0	1	4.8	Middle
23GLG07-1	GLG07	1	6.6	98.86028	26.95944	1240	20230423	sample	1	nu	yes	20.8	150	0.96	12	8.21	12.8	26	2.3	5.1	NA	Middle
23GLG07-2	GLG07	2	5.8	98.86028	26.95944	1240	20230423	sample	1	nu	yes	20.8	150	0.96	12	8.21	12.8	26	2.3	5.1	NA	Middle
23GLG07-3	GLG07	3	4.9	98.86028	26.95944	1240	20230423	sample	1	nu	yes	20.8	150	0.96	12	8.21	12.8	26	2.3	5.1	NA	Middle
23GLG08-1	GLG08	1	7.1	98.8775	27.12944	1255	20230423	sample	1	nu	yes	24	150	0.445	11.8	8.49	12.3	27	2.3	5.1	NA	Middle
23GLG08-2	GLG08	2	6.9	98.8775	27.12944	1255	20230423	sample	1	nu	yes	24	150	0.445	11.8	8.49	12.3	27	2.3	5.1	NA	Middle
23GLG08-3	GLG08	3	7.4	98.8775	27.12944	1255	20230423	sample	1	nu	yes	24	150	0.445	11.8	8.49	12.3	27	2.3	5.1	NA	Middle
23GLG09-1	GLG09	1	7	98.59139	28.04528	1563	20230425	sample	1	nu	yes	10	50	0.739	11.2	8.5	11.68	53	5.1	1	4	North
23GLG09-2	GLG09	2	6.9	98.59139	28.04528	1563	20230425	sample	1	nu	yes	10	50	0.739	11.2	8.5	11.68	53	5.1	1	4	North
23GLG09-3	GLG09	3	6.4	98.59139	28.04528	1563	20230425	sample	1	nu	yes	10	50	0.739	11.2	8.5	11.68	53	5.1	1	4	North
23GLG10-1	GLG10	1	7.3	98.62972	28.02472	1563	20230425	sample	1	nu	yes	8	150	0.7	13.6	8.54	12.1	47	5.1	1	6.8	North
23GLG10-2	GLG10	2	7.4	98.62972	28.02472	1563	20230425	sample	1	nu	yes	8	150	0.7	13.6	8.54	12.1	47	5.1	1	6.8	North
23GLG10-3	GLG10	3	7.3	98.62972	28.02472	1563	20230425	sample	1	nu	yes	8	150	0.7	13.6	8.54	12.1	47	5.1	1	6.8	North
23GLG11-1	GLG11	1	7.11	98.65833	27.96639	1545	20230425	sample	1	nu	yes	12	60	0.65	18.3	8.9	10.9	200	5.1	1	7.7	North
23GLG11-2	GLG11	2	7.8	98.65833	27.96639	1545	20230425	sample	1	nu	yes	12	60	0.65	18.3	8.9	10.9	200	5.1	1	7.7	North
23GLG11-3	GLG11	3	6.6	98.65833	27.96639	1545	20230425	sample	1	nu	yes	12	60	0.65	18.3	8.9	10.9	200	5.1	1	7.7	North
23GLG12-1	GLG12	1	7.5	98.65806	27.76667	1505	20230425	sample	1	nu	yes	15	180	0.745	12.9	8.56	11.8	36	5.1	1	7.4	North
