class	order
Actinopteri	Acipenseriformes
Actinopteri	Amiiformes
Actinopteri	Lepisosteiformes
Reptilia	Squamata
Amphibia	Anura
Amphibia	Caudata
Amphibia	Gymnophiona
Aves	Accipitriformes
Aves	Anseriformes
Aves	Apodiformes
Aves	Caprimulgiformes
Aves	Apterygiformes
Aves	Bucerotiformes
Aves	Cariamiformes
Aves	Casuariiformes
Aves	Charadriiformes
Aves	Ciconiiformes
Aves	Coliiformes
Aves	Columbiformes
Aves	Coraciiformes
Aves	Cuculiformes
Aves	Dinornithiformes
Aves	Eurypygiformes
Aves	Falconiformes
Aves	Galbuliformes
Aves	Galliformes
Aves	Gaviiformes
Aves	Gruiformes
Aves	Leptosomiformes
Aves	Mesitornithiformes
Aves	Musophagiformes
Aves	Opisthocomiformes
Aves	Otidiformes
Aves	Passeriformes
Aves	Pelecaniformes
Aves	Phaethontiformes
Aves	Phoenicopteriformes
Aves	Piciformes
Aves	Podicipediformes
Aves	Procellariiformes
Aves	Psittaciformes
Aves	Pterocliformes
Aves	Rheiformes
Aves	Sphenisciformes
Aves	Strigiformes
Aves	Struthioniformes
Aves	Suliformes
Aves	Tinamiformes
Aves	Trogoniformes
Chondrichthyes	Carcharhiniformes
Chondrichthyes	Chimaeriformes
Chondrichthyes	Echinorhiniformes
Chondrichthyes	Heterodontiformes
Chondrichthyes	Hexanchiformes
Chondrichthyes	Lamniformes
Chondrichthyes	Myliobatiformes
Chondrichthyes	Orectolobiformes
Chondrichthyes	Pristiophoriformes
Chondrichthyes	Rajiformes
Chondrichthyes	Rhinopristiformes
Chondrichthyes	Squaliformes
Chondrichthyes	Squatiniformes
Chondrichthyes	Torpediniformes
Mammalia	Artiodactyla
Mammalia	Carnivora
Mammalia	Cetacea
Mammalia	Chiroptera
Mammalia	Cingulata
Mammalia	Dasyuromorphia
Mammalia	Dermoptera
Mammalia	Didelphimorphia
Mammalia	Diprotodontia
Mammalia	Eulipotyphla
Mammalia	Hyracoidea
Mammalia	Insectivora
Mammalia	Lagomorpha
Mammalia	Macroscelidea
Mammalia	Microbiotheria
Mammalia	Monotremata
Mammalia	Notoryctemorphia
Mammalia	Paucituberculata
Mammalia	Peramelemorphia
Mammalia	Perissodactyla
Mammalia	Pholidota
Mammalia	Pilosa
Mammalia	Primates
Mammalia	Proboscidea
Mammalia	Rodentia
Mammalia	Scandentia
Mammalia	Sirenia
Mammalia	Soricomorpha
Mammalia	Tubulidentata
Reptilia	Crocodilia
Reptilia	Rhynchocephalia
Reptilia	Testudines
Teleostei	Acanthuriformes
Teleostei	Acropomatiformes
Teleostei	Albuliformes
Teleostei	Alepocephaliformes
Teleostei	Anabantiformes
Teleostei	Anguilliformes
Teleostei	Argentiniformes
Teleostei	Ateleopodiformes
Teleostei	Atheriniformes
Teleostei	Aulopiformes
Teleostei	Batrachoidiformes
Teleostei	Beloniformes
Teleostei	Beryciformes
Teleostei	Blenniiformes
Teleostei	Callionymiformes
Teleostei	CarangariaMISC
Teleostei	Carangiformes
Teleostei	Centrarchiformes
Teleostei	Characiformes
Teleostei	Cichliformes
Teleostei	Clupeiformes
Teleostei	Cypriniformes
Teleostei	Cyprinodontiformes
Teleostei	Dactylopteriformes
Teleostei	Elopiformes
Teleostei	Esociformes
Teleostei	EupercariaMISC
Teleostei	Gadiformes
Teleostei	Galaxiiformes
Teleostei	Gasterosteiformes
Teleostei	Gobiesociformes
Teleostei	Gobiiformes
Teleostei	Gonorynchiformes
Teleostei	Gymnotiformes
Teleostei	Hiodontiformes
Teleostei	Holocentriformes
Teleostei	Istiophoriformes
Teleostei	Kurtiformes
Teleostei	Lampriformes
Teleostei	Lepidogalaxiiformes
Teleostei	Lobotiformes
Teleostei	Lophiiformes
Teleostei	Mugiliformes
Teleostei	Mulliformes
Teleostei	Myctophiformes
Teleostei	Notacanthiformes
Teleostei	Ophidiiformes
Teleostei	Osmeriformes
Teleostei	Osteoglossiformes
Teleostei	OvalentariaMISC
Teleostei	Perciformes
Teleostei	Percopsiformes
Teleostei	Pleuronectiformes
Teleostei	Polymixiiformes
Teleostei	Saccopharyngiformes
Teleostei	Salmoniformes
Teleostei	Scombriformes
Teleostei	Siluriformes
Teleostei	Stomiiformes
Teleostei	Stylephoriformes
Teleostei	Synbranchiformes
Teleostei	Syngnathiformes
Teleostei	Tetraodontiformes
Teleostei	Trachichthyiformes
Teleostei	Zeiformes
